,name,artist,api_id,api_name,api_artists
690,Dizzy,Tommy Roe,5LvIl1VHaqtCJJXwrB8QR9,Dizzy,Tommy Roe
691,Hot Fun In The Summertime,Sly and The Family Stone,4t6NQkpUmvpvLDCkl3XuwA,Hot Fun in the Summertime,Sly & The Family Stone
692,Ill Never Fall In Love Again,Tom Jones,70wRitifPn1bC1FGjOrFwN,(It Looks Like) I'll Never Fall In Love Again,Tom Jones
693,Crimson And Clover,Tommy James and The Shondells,1vXuYPpkLjn1v06E2EsWQY,Crimson & Clover - Single Version,Tommy James & The Shondells
694,One,Three Dog Night,4ME2YQNThxEW63fxojzHvN,One - Single Version,Three Dog Night
695,Crystal Blue Persuasion,Tommy James and The Shondells,6FXwTBdpv4wD0G0Sz3Wxn4,Crystal Blue Persuasion,Tommy James & The Shondells
696,Hair,Cowsills,5pjlEqTAOq1snQlcSMgF14,Hair,The Cowsills
697,Too Busy Thinking About My Baby,Marvin Gaye,0EQCaQzKJVCXkwSiQZUVHP,Too Busy Thinking About My Baby - Single Version / Mono,Marvin Gaye
698,Suspicious Minds,Elvis Presley,1H5IfYyIIAlgDX8zguUzns,Suspicious Minds,Elvis Presley
699,Proud Mary,Creedence Clearwater Revival,2EZc13S7YRi6bTS3SKteRN,Proud Mary,Creedence Clearwater Revival
700,It's Your Thing,Isley Brothers,3ZxfehzRtB3oJcBuxWXFZQ,It's Your Thing,The Isley Brothers
701,Sweet Caroline,Neil Diamond,62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond
702,Jean,Oliver,5v4sUZA2Oyni7EtBL586V7,Jean,Oliver
703,Bad Moon Rising,Creedence Clearwater Revival,20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival
704,Get Back,Beatles,4MLBqAEzNN89o2M9h92Z26,Get Back - Remastered 2009,The Beatles
705,In The Year 2525,Zager and Evans,5UVsbUV0Kh033cqsZ5sLQi,In the Year 2525 (Exordium & Terminus),Zager & Evans
706,Spinning Wheel,"Blood, Sweat and Tears",0spSRHFS4zF4Imvz9sJcfL,Spinning Wheel,"Blood, Sweat & Tears"
707,"Baby, I Love You",Andy Kim,3z2ZSQZXaWAufdyv3xnuLe,Baby I Love You,Andy Kim
708,Green River,Creedence Clearwater Revival,11DjZQEZ69EXLo77HVj6yW,Green River,Creedence Clearwater Revival
709,My Cherie Amour,Stevie Wonder,5ZoDwIP1ntHwciLjydJ8X2,My Cherie Amour,Stevie Wonder
710,Easy To Be Hard,Three Dog Night,0MNLIgIY9cW7N2rhvx8W9b,Easy To Be Hard - Single Version,Three Dog Night
711,In The Ghetto,Elvis Presley,7KWoeBqSdZHEloYKVxssfG,In the Ghetto,Elvis Presley
712,A Boy Named Sue,Johnny Cash,5xMNjx7uqCzMpJZSo4Wq55,"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash
713,Good Morning Starshine,Oliver,0XoTz3HTFkhyji6BHGkjNF,Good Morning Starshine,Oliver
714,Youve Made Me So Very Happy,"Blood, Sweat and Tears",76OUhpuAQSQ2orR5TUeeRc,You've Made Me So Very Happy,"Blood, Sweat & Tears"
715,Put A Little Love In Your Heart,Jackie DeShannon,1fQn0TtyvkS6PjdVOitG4p,Put A Little Love In Your Heart,Jackie DeShannon
716,Touch Me,Doors,4BVE5tIIpYabZcYCbephNW,Touch Me,The Doors
717,Ive Gotta Be Me,Sammy Davis Jr.,6wY1llDNWt05uMg5ooZKMt,I've Gotta Be Me,Sammy Davis Jr.
718,Lay Lady Lay,Bob Dylan,4uYwlMp841PLJmj1gJJwIq,"Lay, Lady, Lay",Bob Dylan
719,Its Getting Better,Mama Cass Elliot,5i57kxwmEA5sKDNp7XdQHe,It's Getting Better,Cass Elliot
720,This Magic Moment,Jay and The Americans,74i6ZrnR1WzZsuc3qrJg7I,This Magic Moment,Jay & The Americans
721,"Run Away Child, Running Wild",Temptations,3PbgV4gC1U1we6i0PaF22v,Run Away Child Running Wild,The Temptations
722,Galveston,Glen Campbell,7GCNh1ibQiae8aimaEUOFq,Galveston - Remastered 2001,Glen Campbell
723,Im Gonna Make You Mine,Lou Christie,4CjLp84JmIqzInzYxYZoAS,I'm Gonna Make You Mine,Lou Christie
724,Gitarzan,Ray Stevens,0iE8CuhrbtabeFRnrQYmZP,Gitarzan - 1969 #8 Billboard chart hit Monument,Ray Stevens
725,This Girl's In Love With You,Dionne Warwick,5kYMMNGEZDfVZZiAAmP0y2,This Guy/This Girl's In Love With You,"Dionne Warwick,Phil Driscoll"
726,Mother Popcorn,James Brown,6mRWYqhRPJVyYpLOLvbtRg,Mother Popcorn - Pt. 1,James Brown
727,Twenty-five Miles,Edwin Starr,0vstoapfzoOlqD8zurG2uJ,Twenty Five Miles,Edwin Starr
728,That's The Way Love Is,Marvin Gaye,51ePCpO1xUeHYhvgT67YPX,That's The Way Love Is - Stereo Version,Marvin Gaye
729,Polk Salad Annie,Tony Joe White,0jtz7Ia3HahOqXWnKad0rn,Polk Salad Annie,Tony Joe White
730,"Ruby, Don't Take Your Love To Town",Kenny Rogers,3MoCJ7TOCMlFdyeBEHt24q,Ruby Don't Take Your Love To Town,Kenny Rogers
731,Games People Play,Joe South,50t8gshcAtXiUdk7nHfYDp,Games People Play,Joe South
732,Something,Beatles,0pNeVovbiZHkulpGeOx1Gj,Something - Remastered 2009,The Beatles
733,Come Together,Beatles,2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles
734,Im Gonna Make You Love Me,Diana Ross,3Rhxe6P1im82NFVkt9X2qZ,I'm Gonna Make You Love Me,"Diana Ross & The Supremes,The Temptations"
735,I Heard It Through The Grapevine,Marvin Gaye,1tqT6DhmsrtQgyCKUwotiw,I Heard It Through The Grapevine,Marvin Gaye
736,Love Me Tonight,Tom Jones,5dClbtFrsEtU363gpPwX2I,Love Me Tonight,Tom Jones
737,My Whole World Ended,David Ruffin,09VbZ87CD4kGyQ9QBrnziC,My Whole World Ended (The Moment You Left Me),David Ruffin
738,Soul Deep,Box Tops,4yPl1mK1oluIrCwI4HInPR,Soul Deep,The Box Tops
739,Hooked On A Feeling,B.J. Thomas,75HYhujFXgY5ugYwT1azLC,Hooked on a Feeling - Rerecorded,B.J. Thomas
740,Bridge Over Troubled Water,Simon and Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel
741,(They Long To Be) Close To You,Carpenters,50q2aUjWoTn6CJIfSPRJQA,(They Long To Be) Close To You,Carpenters
742,Raindrops Keep Fallin' On My Head,B.J. Thomas,0zRtBDhwtIFTfoK2HuURbM,Raindrops Keep Fallin' On My Head,B.J. Thomas
743,War,Edwin Starr,4ZEEcEMGjkWOfZNBcIB9yE,War,Edwin Starr
744,Aint No Mountain High Enough,Diana Ross,0eFPoaGLAREcDDMn1nxNwB,Ain't No Mountain High Enough,Diana Ross
745,Ill Be There,Jackson 5,5RdhBLmB4DyFHLglRrfx63,I'll Be There,The Jackson 5
746,Get Ready,Rare Earth,5F6XsffCcDXwJmJXiuPRle,Get Ready - Single Version,Rare Earth
747,Let It Be,Beatles,7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles
748,Band Of Gold,Freda Payne,0YgoNapnyIXuruBrzvoCSu,Band Of Gold - Re-Record,Freda Payne
749,Mama Told Me,Three Dog Night,1CAO7hiNOxJRPW4nFv2aRO,Mama Told Me (Not To Come) - Single Version,Three Dog Night
750,Everything Is Beautiful,Ray Stevens,3rrrMhc76FDnS4N7wu2KfH,Everything Is Beautiful - 1970 #1 Billboard chart hit,Ray Stevens
751,Make It With You,Bread,7wWw7hBmErNg9u5w6Xx0vy,Make It with You,Bread
752,ABC,Jackson 5,6wDviYDtmSDZ0S6TVMM9Vc,ABC,The Jackson 5
753,The Love You Save,Jackson 5,2dYdai0GywuwYq6blSwDBV,The Love You Save,The Jackson 5
754,Candida,Dawn,1QdrUOQkbXJbpNqOKgJpq5,Candida,"The Dawn,Tony Orlando & Dawn"
755,Spill The Wine,Eric Burdon,2tAYoHaFbx6e7QOkOkAhrX,Spill The Wine,"Eric Burdon,War"
756,Spirit In The Sky,Norman Greenbaum,0jvN7eQJJt4nxQzgQfZ1SP,Spirit In The Sky,Norman Greenbaum
757,Ball Of Confusion,Temptations,7gWBXNYoKH7jLZx0MgZCfl,Ball Of Confusion (That's What The World Is Today),The Temptations
758,I Want You Back,Jackson 5,5LxvwujISqiB8vpRYv887S,I Want You Back,The Jackson 5
759,Venus,Shocking Blue,0Z3xhSOhrawLV81YdiDiiJ,Venus,Shocking Blue
760,Instant Karma,John Lennon,2BkXpZSvPoUDMLI2Xw9kAL,Instant Karma! (We All Shine On) - Remastered 2010,"John Lennon,Yoko Ono"
761,Rainy Night In Georgia,Brook Benton,2zbV4xRYLuElz4PWOXI5P7,Rainy Night in Georgia,Brook Benton
762,Something's Burning,Kenny Rogers,4m9zF5OiikfhWTjcXTHAJx,Something's Burning,Kenny Rogers & The First Edition
763,Give Me Just A Little More Time,Chairmen Of The Board,6pcCnylRvUiyLXXCJ8v2nj,Give Me Just a Little More Time - Originally Performed By Chairmen of the Board,Sing Karaoke Sing
764,Love Grows,Edison Lighthouse,5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),Edison Lighthouse
765,Snowbird,Anne Murray,2ik5qJAcmrjbpON5QPxmRr,Snowbird,Anne Murray
766,Reflections Of My Life,Marmalade,3R3s733nwA8Yi1BMk4NGjx,Reflections of My Life,Marmalade
767,"He Ain't Heavy, He's My Brother",Hollies,41iPmvB2ogl3dzEHw9EZh0,"He Ain't Heavy, He's My Brother",The Hollies
768,Come And Get It,Badfinger,0wb21I1NV5uVUolRXIqlJF,Come And Get It - Remastered 2010,Badfinger
769,Lola,Kinks,0UAJH0k4k3slcE83a9UGCe,Lola,The Kinks
770,In The Summertime,Mungo Jerry,3RNyGLgSvmVRZ7xKUp8Wgd,In the Summertime,Mungo Jerry
771,Indiana Wants Me,R. Dean Taylor,1zgV5ZYh7uYJXbK7yjuyj8,Indiana Wants Me - Commercial Version,R. Dean Taylor
772,(I Know) I'm Losing You,Rare Earth,18bZGZU0wZ2lV1SEDoXqqr,(I Know) I'm Losing You - Single Version,Rare Earth
773,Still Water,Four Tops,5feUxmo1qphxusEo1N9GRt,Still Water (Love),Four Tops
774,Make Me Smile,Chicago,14vDlv40PzpXKBo6qmht6M,Make Me Smile (Single Version) - 2002 Remaster,Chicago
775,House Of The Rising Sun,Frijid Pink,6IjvCFBNprUHhlamLey2Tb,House Of The Rising Sun,Frijid Pink
776,25 Or 6 To 4,Chicago,7GqIDx2QVGOpd4r1fZaUUW,25 or 6 to 4 - 2002 Remaster,Chicago
777,My Baby Loves Lovin',White Plains,58uiNKZ1w4B89gHRfRLeJJ,My Baby Loves Lovin',White Plains
778,United We Stand,Brotherhood Of Man,7f7BfNHdwigjjx2ZDW1j0o,United We Stand,Brotherhood of Man
779,We've Only Just Begun,Carpenters,4ny0oELEssJsXNQDxpWWLI,We’ve Only Just Begun,"Carpenters,Royal Philharmonic Orchestra"
780,Fire And Rain,James Taylor,1oht5GevPN9t1T3kG1m1GO,Fire and Rain - 2019 Remaster,James Taylor
781,Groovy Situation,Gene Chandler,7In9orap3Hmuo2i5ttu2OW,Groovy Situation - Single Version,Gene Chandler
782,I Just Can't Help Believing,B.J. Thomas,4RqHoLuzJEKh2VWR1JgRBB,I Just Can't Help Believing - Rerecorded,B.J. Thomas
783,It's A Shame,Spinners,1l1YTy9nJ0trwhsCGcimly,It's A Shame,The Spinners
784,Mississippi Queen,Mountain,4vO9dmzNRqDhFY3jD1a3P7,Mississippi Queen,Mountain
785,I Want To Take You Higher,Ike and Tina Turner,2O6yvfyxLqziGjNYH9OOde,I Want To Take You Higher - Remastered,Ike & Tina Turner
786,The Letter,Joe Cocker,2cph4XTPjwu5eHPKQ43jMq,The Letter - Single Version,Joe Cocker
787,Yellow River,Christie,4VnzKUBMB6cvog8Jvv1few,Yellow River,Christie
788,Vehicle,Ides Of March,6hnyQ0YpiO35rutiLLHLmr,Vehicle,The Ides Of March
789,Up The Ladder To The Roof,Supremes,2sHahlW8ib7C7GkuV39tKR,Up The Ladder To The Roof,The Supremes
790,Psychedelic Shack,Temptations,5kx4xMErn45NZvEChKiqdo,Psychedelic Shack,The Temptations
791,Without Love,Tom Jones,0fThQWaMyYiQ3gy1tpmBaJ,Without Love,Tom Jones
792,Woodstock,"Crosby, Stills, Nash and Young",2iqKVzMZpyUVPwxIVaQkhm,Woodstock,"Crosby, Stills, Nash & Young"
793,Ill Never Fall In Love Again,Dionne Warwick,1MHgV79MSYE6ymNlGa3bRY,I'll Never Fall in Love Again,Dionne Warwick
794,Walk A Mile In My Shoes,Joe South,49dCQGqLHLqlgTcnxqN5h6,Walk A Mile In My Shoes - 2002 Remaster / 24-Bit Mastering,Joe South
795,The Thrill Is Gone,B.B. King,3cg0dJfrQB66Qf2YthPb6G,The Thrill Is Gone,"B.B. King,Tracy Chapman"
796,It's Only Make Believe,Glen Campbell,2eot2orcEQn5wR11DSVcbO,It's Only Make Believe,Glen Campbell
797,Call Me,Aretha Franklin,1JEFsHZxUy24AvyC49GKVj,Call Me,Aretha Franklin
798,Joy To The World,Three Dog Night,2ymeOsYijJz09LfKw3yM2x,Joy To The World,Three Dog Night
799,One Bad Apple,Osmonds,50UoJUrslRVqG0cg6uboyn,One Bad Apple,The Osmonds
800,How Can You Mend A Broken Heart,Bee Gees,3ZP18us6p6LHOZMG1LLUjF,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",Bee Gees
801,Go Away Little Girl,Donny Osmond,6SvOdNsEfi7EDB0oFtH3YG,Go Away Little Girl,Donny Osmond
802,"Take Me Home, Country Roads",John Denver,39q7xibBdRboeMKUbZEB6g,"Take Me Home, Country Roads",John Denver
803,Just My Imagination,Temptations,39Bd345OWEhRNyfayhp9gv,Just My Imagination (Running Away With Me),The Temptations
804,Knock Three Times,Dawn,5eieTS268veCXyZoLoy7eP,Knock Three Times,Tony Orlando & Dawn
805,Me And Bobby McGee,Janis Joplin,1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,Janis Joplin
806,Tired Of Being Alone,Al Green,10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,Al Green
807,Smiling Faces Sometimes,Undisputed Truth,5Vdg4tP25ffeGEC5GGmCwm,Smiling Faces Sometimes,The Undisputed Truth
808,Brown Sugar,Rolling Stones,3JFbtnRaxAwSa2nYvgsVnj,Brown Sugar - 2009 Mix,The Rolling Stones
809,Youve Got A Friend,James Taylor,6zV8IpLvw0tkRSVCFQJB1y,You've Got a Friend - 2019 Remaster,James Taylor
810,Mr. Big Stuff,Jean Knight,2Bls0igCm79XQQ95IoUbhq,Mr. Big Stuff,Jean Knight
811,Do You Know What I Mean,Lee Michaels,0X2ckklp0uln3TRUH7JTpN,Do You Know What I Mean,Lee Michaels
812,The Night They Drove Old Dixie Down,Joan Baez,0uHYplBhwLYey7f9qAmnSM,The Night They Drove Old Dixie Down,Joan Baez
813,What's Going On,Marvin Gaye,34HZh4piczCMVGPg4dDm5i,What's Going On,Marvin Gaye
814,Ain't No Sunshine,Bill Withers,5Y6c7TRTceWR7HPYtXYC6Z,Ain’t No Sunshine - Lido Remix,"Bill Withers,Lido"
815,She's A Lady,Tom Jones,5JnHzjo25FY1fMQMQVOawB,She's A Lady,Tom Jones
816,Superstar,Murray Head,1D1p0w1Hcpjoi8rf75tnpe,Superstar,"Murray Head,The Trinidad Singers"
817,Superstar,Carpenters,1Gv6f7m5ZNDcInxGA8PsLS,Superstar,Carpenters
818,Sweet And Innocent,Donny Osmond,12jhJVDLQlyINMabPJ3IWB,Sweet And Innocent,Donny Osmond
819,For All We Know,Carpenters,5llfFWv1tH61nENrsjg3KZ,"For All We Know - From ""Lovers And Other Strangers"" Soundtrack",Carpenters
820,If You Could Read My Mind,Gordon Lightfoot,57ct8jKi6trntXiRV0NnXi,If You Could Read My Mind,Gordon Lightfoot
821,Rainy Days And Mondays,Carpenters,5cbZDpFu1hTwaU7hDQpf13,Rainy Days And Mondays,Carpenters
822,Never Can Say Goodbye,Jackson 5,5RHf8SmHRWbF3oywpXaQ2i,Never Can Say Goodbye,The Jackson 5
823,Rose Garden,Lynn Anderson,5YwgJ6lpZ3SiAQwBEpjqey,Rose Garden,Lynn Anderson
824,It Don't Come Easy,Ringo Starr,4RFqi5JQduiSlRZCVlUDGH,It Don't Come Easy,Ringo Starr
825,Mr. Bojangles,Nitty Gritty Dirt Band,3cq6mwsjgygbwRIi9wVPGv,Mr. Bojangles - Remastered 2001,Nitty Gritty Dirt Band
826,Whatcha See Is Whatcha Get,Dramatics,5lYpHO6ZO4Shys3GD8rav6,Whatcha See Is Whatcha Get,The Dramatics
827,That's The Way I've Always Heard It Should Be,Carly Simon,4jkn5PRfAJoKfXF0OPL7n7,That's The Way I've Always Heard It Should Be,Carly Simon
828,If You Really Love Me,Stevie Wonder,6Axz5VSkc4Bs8eXWQxnynE,If You Really Love Me,Stevie Wonder
829,Spanish Harlem,Aretha Franklin,0sQ594D1EuU66VDdtHBE6j,Spanish Harlem,Aretha Franklin
830,I Don't Know How To Love Him,Helen Reddy,6DSq5IghuzKhH3AYatSb6h,I Don't Know How To Love Him,Helen Reddy
831,Yo-yo,Osmonds,4OxvFfm3BxNacgiYG2UitH,What Are You Doin' New Years Eve,"The Osmonds,Donny Osmond"
832,Proud Mary,Ike and Tina Turner,4ppxp8rJB8eOhM9TFm6dK2,Proud Mary,Ike & Tina Turner
833,Sweet City Woman,Stampeders,52SCT6ImFklqEhH21lgErO,Sweet City Woman,Stampeders
834,If,Bread,1Fu3gq55GH3P6OF352rEIc,If,Bread
835,Mercy Mercy Me,Marvin Gaye,5dtab4o0NqDeeymFjg0RfK,Mercy Mercy Me (The Ecology),Marvin Gaye
836,Bring The Boys Home,Freda Payne,5R84QoGVQuD4dP8Xyh0rtQ,Bring The Boys Home,Freda Payne
837,I Just Want To Celebrate,Rare Earth,4iW98ZK1gNzcXmQ5TgTD9X,I Just Want To Celebrate,Rare Earth
838,Liar,Three Dog Night,1JdeoOK93INXOGy3C1etS7,Liar - Single Version,Three Dog Night
839,Love Story,Andy Williams,45FLu3nL1iMYXYPzhqLdko,"Where Do I Begin - Love Theme from ""Love Story""",Andy Williams
840,If Not For You,Olivia Newton-John,2AAlmeU8WV5xQOP5oNFrRi,If Not For You - Live,Olivia Newton-John
841,Woodstock,Matthews' Southern Comfort,7IwFA0HPOBCoQT5qzP0jDN,Woodstock,Matthews' Southern Comfort
842,Amazing Grace,Judy Collins,6Sueudn0VQA4AXRsFKQbFl,Amazing Grace,Judy Collins
843,I Hear You Knocking,Dave Edmunds,2HMWCdOn8xL2M8WwPxHTQ1,I Hear You Knocking,Dave Edmunds
844,Lonely Days,Bee Gees,7uLKyipL5WfndsHMRSGEUS,Lonely Days,Bee Gees
845,Here Comes That Rainy Day Feeling Again,Fortunes,1Nre9NRh8OCEAyHsdr5CZe,Here Comes That Rainy Day Feeling Again,The Fortunes
846,Mama's Pearl,Jackson 5,20a2Sdul23BOafd2X37Dlv,Mama's Pearl,The Jackson 5
847,If I Were Your Woman,Gladys Knight and The Pips,3FWqBK4ZKpAdffVPvPFJjB,If I Were Your Woman - Single Version,Gladys Knight & The Pips
848,Love Her Madly,Doors,3MFFDRC4wTN9JNGtzXsZlN,Love Her Madly,The Doors
849,Here Comes The Sun,Richie Havens,0hhzJEusz6r7f0eL1Uc8kw,Here Comes The Sun,Richie Havens
850,Riders On The Storm,Doors,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors
851,It's Impossible,Perry Como,43qhyYc23jLct4VYPF8RrJ,"It's Impossible - Digitally Mastered - May - June, 1988",Perry Como
852,The First Time Ever I Saw Your Face,Roberta Flack,0SxFyA4FqmEQqZVuAlg8lf,The First Time Ever I Saw Your Face,Roberta Flack
853,Alone Again,Gilbert O'Sullivan,6vuEG9sZtC4W2zT64f7zLF,Alone Again (Naturally),Gilbert O'Sullivan
854,American Pie,Don McLean,1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean
855,Candy Man,Sammy Davis Jr.,5X3XrHlCFVGqNKpGp85xVC,The Candy Man,Sammy Davis Jr.
856,Lean On Me,Bill Withers,3M8FzayQWtkvOhqMn2V4T2,Lean on Me,Bill Withers
857,Baby Don't Get Hooked On Me,Mac Davis,4z51Gf7Ppt9Lmu5zmnUIz9,Baby Don't Get Hooked on Me,Mac Davis
858,Daddy Don't You Walk So Fast,Wayne Newton,7buqgbdJkbLhAQIKqyYbbz,Daddy Don't You Walk So Fast - Re-Recorded In Stereo,Wayne Newton
859,Let's Stay Together,Al Green,63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green
860,Oh Girl,Chi-Lites,0cFlXjTxFdMGGPfLVpt3Wv,Oh Girl,The Chi-Lites
861,My Ding-A-Ling,Chuck Berry,2L8mIvM1OwkJyGb3WwDFT3,My Ding-A-Ling,Chuck Berry
862,Heart Of Gold,Neil Young,1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,Neil Young
863,Ill Take You There,Staple Singers,5YLnfy7R2kueN0BRPkjiEG,I'll Take You There,The Staple Singers
864,Ben,Michael Jackson,0ZFqB9g2FujbmMSrjqsL3j,Ben - Single Version,Michael Jackson
865,Long Cool Woman,Hollies,5UwbnHhjnbinJH8TefuQfN,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies
866,Song Sung Blue,Neil Diamond,4FZ8wtTaOAbYvyChBt4GEQ,Song Sung Blue - Single Version,Neil Diamond
867,A Horse With No Name,America,54eZmuggBFJbV7k248bTTt,A Horse with No Name,"America,George Martin"
868,Nights In White Satin,Moody Blues,6L5BZEcZmD6RBJnimzlyKr,Nights In White Satin - Single Version / Mono Mix,The Moody Blues
869,Back Stabbers,OJays,0KpMY3D2G8253VTZbDBUmA,Back Stabbers,The O'Jays
870,Down By The Lazy River,Osmonds,49ZAeWd40u4py51DpjEY8p,Down By The Lazy River,The Osmonds
871,Sunshine,Jonathan Edwards,3Xd39NB1rifow2RDNVgSFp,Sunshine (Go Away Today),Jonathan Edwards
872,Rocket Man,Elton John,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John
873,Rockin' Robin,Michael Jackson,63gcHyuhAC8G2C0bVQUOJI,Rockin' Robin,Michael Jackson
874,The City Of New Orleans,Arlo Guthrie,0P6TTXbSLGrSoTNMz5kvB7,The City of New Orleans,Arlo Guthrie
875,I Can See Clearly Now,Johnny Nash,0DcrhZ12WcCqruCs8ibXSf,I Can See Clearly Now - Edit,Johnny Nash
876,Burning Love,Elvis Presley,7zMUCLm1TN9o9JlLISztxO,Burning Love,Elvis Presley
877,Clean Up Woman,Betty Wright,6uqTETWok9npbL4c9cuLVh,Clean up Woman,Betty Wright
878,Hold Your Head Up,Argent,3vfIv3pvYlLOa0wKIEuqFn,Hold Your Head Up,Argent
879,Everything I Own,Bread,52VIdyKqp1pJRSyUQaxKUA,Everything I Own,Bread
880,In The Rain,Dramatics,6aKFAhG7hCy71wLDMKjP5G,In The Rain,The Dramatics
881,Look What You Done For Me,Al Green,0ZhwlFI7I69yaXphO7t5R8,Look What You Done for Me,Al Green
882,Bang A Gong,T. Rex,6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - Remastered Version,T. Rex
883,Mother And Child Reunion,Paul Simon,5vZ1BKMSLgrxxPYGMR904n,Mother and Child Reunion,Paul Simon
884,Where Is The Love,Roberta Flack,7l07ak5IWpISBsrUtwj4O4,Where Is the Love,"Roberta Flack,Donny Hathaway"
885,Im Still In Love With You,Al Green,2GEDd9qtGXU7IvGgqTF6Uj,I'm Still in Love with You,Al Green
886,Layla,Derek and The Dominos,2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos
887,Day Dreaming,Aretha Franklin,7L4G39PVgMfaeHRyi1ML7y,Day Dreaming,Aretha Franklin
888,The Way Of Love,Cher,1q1oeOO8LQJH0qWI549cqN,The Way Of Love,Cher
889,Black And White,Three Dog Night,4XcUADpOth9Wroq5EVMFJq,Black And White,Three Dog Night
890,Sylvia's Mother,Dr. Hook and The Medicine Show,4hLk7Bjz1XJWNDiqovvgBW,Sylvia's Mother,Dr. Hook
891,Hurting Each Other,Carpenters,4wGKFjv7PUEZJsRk79wNKu,Hurting Each Other,Carpenters
892,Puppy Love,Donny Osmond,7HWH4kGaHR3ZwKNFPT4dSW,Puppy Love,Donny Osmond
893,You Don't Mess Around With Jim,Jim Croce,5yrsBzgHkfu2idkl2ILQis,You Don't Mess Around with Jim,Jim Croce
894,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,2sZjmnS1BSoc1svOu5P8LM,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen
895,A Cowboy's Work Is Never Done,Sonny and Cher,3X1a60iOm7XAJ1ZT1w2TVq,A Cowboy's Work Is Never Done,Sonny & Cher
896,Anticipation,Carly Simon,0rLRrCTqWVMgv1DpMBSezw,Anticipation,Carly Simon
897,Never Been To Spain,Three Dog Night,61OQuSzsom6geFCA18JwO6,Never Been To Spain - Single Version,Three Dog Night
898,School's Out,Alice Cooper,5Z8EDau8uNcP1E8JvmfkZe,School's Out,Alice Cooper
899,Saturday In The Park,Chicago,4OJFkrRQqol4FsPesF8eu4,Saturday in the Park - 2002 Remaster,Chicago
900,Use Me,Bill Withers,4gRA0i5sxx3jAhHaVjPnUN,Use Me,Bill Withers
901,Family Affair,Sly and The Family Stone,2GVEs1sn5Q1jB1976vQoAX,Family Affair - Single Version,Sly & The Family Stone
902,The Witch Queen Of New Orleans,Redbone,5M3lcfDNGB4S0iDoP9ItcV,The Witch Queen of New Orleans,Redbone
903,Freddie's Dead,Curtis Mayfield,2ouFIPC3O1HNBcVTw1d9AN,Freddie's Dead,Curtis Mayfield
904,Taxi,Harry Chapin,7qnxmC6qdYkjcoCJCeD8Jx,Taxi,Harry Chapin
905,Sealed With A Kiss,Bobby Vinton,2W5UG7uGle3SlZiyzEGxls,Sealed with a Kiss,Bobby Vinton
906,I Saw The Light,Todd Rundgren,5uRkew0DtfAQmv0oEYNwFF,I Saw the Light - 2015 Remaster,Todd Rundgren
907,Motorcycle Mama,Sailcat,1TkgnYlGsO7nva2PF97tVM,Motorcycle Mama,Sailcat
908,Roundabout,Yes,0YveezON7jpiaHA8fnUHxN,Roundabout - 2003 Remaster,Yes
909,Doctor My Eyes,Jackson Browne,3QcuZo6WLcFkqqLmDs0d95,Doctor My Eyes,Jackson Browne
910,Speak To The Sky,Rick Springfield,3U7WGQgdrFM9SWbVkPQSPn,Speak To The Sky,Rick Springfield
911,Bad Bad Leroy Brown,Jim Croce,1O0xeZrBDbq7HPREdmYUYK,"Bad, Bad Leroy Brown",Jim Croce
912,Killing Me Softly With His Song,Roberta Flack,3gsCAGsWr6pUm1Vy7CPPob,Killing Me Softly with His Song,Roberta Flack
913,Let's Get It On,Marvin Gaye,32pwuh2kaQ6G8IdlXoTSoO,Let's Get It On,Marvin Gaye
914,My Love,Paul McCartney,6W5B2atlbrHdC8vy8c3df8,My Love,"Paul McCartney,Wings"
915,Why Me,Kris Kristofferson,6uMKkOEkPJRumFvAzo5nr9,Why Me,Kris Kristofferson
916,Crocodile Rock,Elton John,6WCeFNVAXUtNczb7lqLiZU,Crocodile Rock,Elton John
917,Will It Go Round In Circles,Billy Preston,5YLVhkyMsAuYKOKihHJo21,Will It Go Round In Circles,Billy Preston
918,Youre So Vain,Carly Simon,2DnJjbjNTV9Nd5NOa1KGba,You're so Vain,Carly Simon
