,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2069,0.772,0.822,10,-5.649,0,0.123,0.00797,0.00148,0.457,0.526,97.718,audio_features,0C7dYeCLF6ukChtW64UNge,spotify:track:0C7dYeCLF6ukChtW64UNge,https://api.spotify.com/v1/tracks/0C7dYeCLF6ukChtW64UNge,https://api.spotify.com/v1/audio-analysis/0C7dYeCLF6ukChtW64UNge,198573,4
2070,0.637,0.542,9,-8.173,1,0.0356,0.765,0.0,0.302,0.38,105.322,audio_features,4FKHWhLF2dyjcoSnGlktw4,spotify:track:4FKHWhLF2dyjcoSnGlktw4,https://api.spotify.com/v1/tracks/4FKHWhLF2dyjcoSnGlktw4,https://api.spotify.com/v1/audio-analysis/4FKHWhLF2dyjcoSnGlktw4,233973,4
2071,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679,audio_features,4LFwNJWoj74Yd71fIr1W8x,spotify:track:4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/tracks/4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/audio-analysis/4LFwNJWoj74Yd71fIr1W8x,264333,4
2072,0.545,0.356,5,-14.127,1,0.0245,0.413,1.56e-06,0.128,0.465,82.214,audio_features,4tEpvocDTdNVR9DYxnJTFy,spotify:track:4tEpvocDTdNVR9DYxnJTFy,https://api.spotify.com/v1/tracks/4tEpvocDTdNVR9DYxnJTFy,https://api.spotify.com/v1/audio-analysis/4tEpvocDTdNVR9DYxnJTFy,250067,4
2073,0.754,0.453,9,-9.862,1,0.0443,0.0998,0.00487,0.108,0.758,151.239,audio_features,1ffAMndLMFbKHpXuIDBwc1,spotify:track:1ffAMndLMFbKHpXuIDBwc1,https://api.spotify.com/v1/tracks/1ffAMndLMFbKHpXuIDBwc1,https://api.spotify.com/v1/audio-analysis/1ffAMndLMFbKHpXuIDBwc1,238840,4
2074,0.634,0.838,2,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,audio_features,79LdvxXi5JYUjhnO7v9Fi3,spotify:track:79LdvxXi5JYUjhnO7v9Fi3,https://api.spotify.com/v1/tracks/79LdvxXi5JYUjhnO7v9Fi3,https://api.spotify.com/v1/audio-analysis/79LdvxXi5JYUjhnO7v9Fi3,237320,4
2075,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,audio_features,4d6eqRtpDX7tydHJGDZUBQ,spotify:track:4d6eqRtpDX7tydHJGDZUBQ,https://api.spotify.com/v1/tracks/4d6eqRtpDX7tydHJGDZUBQ,https://api.spotify.com/v1/audio-analysis/4d6eqRtpDX7tydHJGDZUBQ,215773,4
2076,0.659,0.899,2,-6.207,1,0.0423,0.0035,0.0,0.0629,0.562,101.802,audio_features,3ojDU1HhKEfdExIN6QsK8q,spotify:track:3ojDU1HhKEfdExIN6QsK8q,https://api.spotify.com/v1/tracks/3ojDU1HhKEfdExIN6QsK8q,https://api.spotify.com/v1/audio-analysis/3ojDU1HhKEfdExIN6QsK8q,294413,4
2077,0.582,0.908,7,-2.48,1,0.039,0.311,0.0323,0.0625,0.711,155.561,audio_features,2BgWv15eKCDfiubKo6o76k,spotify:track:2BgWv15eKCDfiubKo6o76k,https://api.spotify.com/v1/tracks/2BgWv15eKCDfiubKo6o76k,https://api.spotify.com/v1/audio-analysis/2BgWv15eKCDfiubKo6o76k,204387,4
2078,0.758,0.827,4,-6.151,0,0.0774,0.00328,0.000165,0.0951,0.506,97.515,audio_features,0UUpyDCYzkziXJ1TM4awHM,spotify:track:0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/tracks/0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/audio-analysis/0UUpyDCYzkziXJ1TM4awHM,248533,4
