index,artist
273,Gary U.S. Bonds
274,Neil Sedaka
275,Johnny Tillotson
276,Ferlin Husky
277,Elvis Presley
278,Ricky Nelson
279,The Capris
280,Elvis Presley
281,Lee Dorsey
282,Gary U.S. Bonds
283,The Everly Brothers
284,Pat Boone
285,Ray Charles
286,Ben E. King
287,Ben E. King
288,Ike & Tina Turner
289,Del Shannon
290,Chubby Checker
291,Elvis Presley
292,Bert Kaempfert
293,Tony Orlando
294,Brook Benton
295,Connie Francis
296,The Shirelles
297,Fats Domino
298,Matt Monro
299,Paul Anka
300,Bobby Rydell
301,Brenda Lee
302,Brenda Lee
303,Chubby Checker
304,Elvis Presley
305,Don Gibson
306,Bobby Darin
307,Ray Charles
308,Bobby Vinton
309,Chubby Checker
310,The Shirelles
311,Gene Chandler
312,Neil Sedaka
313,Chubby Checker
314,Johnny Tillotson
315,Mary Wells
316,Elvis Presley
317,Tommy Roe
318,Sam Cooke
319,Brenda Lee
320,Nat King Cole
321,Jay & The Americans
322,Connie Francis
323,Gary U.S. Bonds
324,The Isley Brothers
325,The Shirelles
326,Pat Boone
327,Burl Ives
328,The Everly Brothers
329,Sam Cooke
330,Ray Charles
331,Elvis Presley
331,Joe Clas
332,Henry Mancini
333,Ray Stevens
334,Bobby Darin
335,Gene Pitney
336,Roy Orbison
337,Joe Henderson
338,Chris Montez
339,Mary Wells
340,Brenda Lee
341,Jimmy Clanton
342,Paul Anka
343,Patsy Cline
344,Burl Ives
345,Gary U.S. Bonds
346,Bobby Rydell
347,The Kingston Trio
348,Gene Pitney
349,Peter
349, Paul and Mary
350,The Beach Boys
351,The Beach Boys
352,Skeeter Davis
353,Bobby Vinton
354,Andy Williams
355,Lesley Gore
356,Peter
356, Paul and Mary
357,Peter
357, Paul and Mary
358,Al Martino
359,Bobby Darin
360,Lesley Gore
361,Eydie Gormé
362,Randy & The Rainbows
363,The Beach Boys
364,Tommy Roe
365,Skeeter Davis
366,The Ronettes
367,Roy Orbison
368,Henry Mancini
369,Bobby Vinton
370,Lou Christie
371,Billy Ray Charles
372,The Shirelles
373,Roy Orbison
374,Brenda Lee
375,Tony Bennett
376,Sam Cooke
377,Elvis Presley
378,Nat King Cole
379,Jackie Wilson
380,Marvin Gaye
381,Rufus Thomas
382,Johnny Mathis
383,Johnny Cash
384,Doris Troy
385,Lesley Gore
386,Rolf Harris
387,Nat King Cole
388,Sam Cooke
389,Al Martino
390,Steve Lawrence
390,Eydie Gormé
391,Ray Charles
392,Martha Reeves & The Vandellas
393,Elvis Presley
394,The Beach Boys
395,Del Shannon
396,The Beatles
397,The Beatles
398,Louis Armstrong
399,Roy Orbison
400,The Beach Boys
401,Dean Martin
402,Mary Wells
403,The Supremes
404,Barbra Streisand
404,Stevie Wonder
405,The Beatles
406,The Beatles
407,Manfred Mann
408,The Beatles
409,Martha Reeves & The Vandellas
410,Billy J. Kramer
410,The Dakotas
411,The Dave Clark Five
412,Gene Pitney
413,Jay & The Americans
414,Peter And Gordon
415,The Supremes
416,Dusty Springfield
417,Lesley Gore
418,Dionne Warwick
419,The Beatles
420,Johnny Rivers
421,Danny Williams
422,Betty Everett
423,The Dave Clark Five
424,Gerry & The Pacemakers
425,Chad & Jeremy
426,Stan Getz
426,João Gilberto
426,Astrud Gilberto
427,The Beatles
427,Philip De Blue
428,The Beatles
429,Four Tops
430,The Bachelors
431,The Dave Clark Five
432,The New Christy Minstrels
433,The Dave Clark Five
434,The Temptations
435,Dionne Warwick
436,Al Martino
437,Roy Orbison
438,Dean Martin
439,The Kinks
440,Sammy Davis Jr.
441,Roger Miller
442,Roger Miller
443,The Searchers
444,The Dave Clark Five
445,The Beatles
446,Andy Williams
447,Billy J. Kramer & The Dakotas
448,Bobby Vinton
449,The Kingsmen
450,The Searchers
451,Four Tops
452,The Rolling Stones
453,Petula Clark
454,The Beatles
455,Herman's Hermits
456,Elvis Presley
457,The Temptations
458,The Beach Boys
459,Roger Miller
460,Jr. Walker & The All Stars
461,Sonny & Cher
462,Gary Lewis & The Playboys
463,Herman's Hermits
464,The Supremes
465,Herman's Hermits
466,The Seekers
467,The Byrds
468,Sounds Orchestral
469,Tom Jones
470,The Beatles
471,James Brown
472,Shirley Ellis
473,Petula Clark
474,The Supremes
475,Bob Dylan
476,Gerry & The Pacemakers
477,Johnny Rivers
478,Herman's Hermits
479,The Yardbirds
479,Eric Clapton
480,The Beach Boys
481,The Moody Blues
482,Shirley Bassey
483,The Dave Clark Five
484,The Beatles
485,Marvin Gaye
486,Gary Lewis & The Playboys
487,The Kinks
488,Gary Lewis & The Playboys
489,The Kinks
